1;¿Qué hace la universidad?
+;Educa personas íntegras con capacidad de liderazgo
-;Enseña a sus alumnos como realizar su trabajo en las empresas
-;Orienta a sus estudiantes a ser mejores profesionales
-;Preparar sus estudiantes para enfrentar los diversos problemas de la sociedad

2;¿Cómo la Universidad educa personas íntegras con capacidad de liderazgo?
-;Con la implementacion de tecnicas basadas en la teoria y no en la practica
+;Con fundamento en principios pedagógicos y administrativos
-;Con metodologias orientadas al trabajo en la sociedad
-;Con trabajo de campo en las empresas

3;¿Qué garantiza la fundamentacion en principios pedagógicos y administrativos?
-;El optimo desempeño en el ambiente laborar
-;La implementacion de optimas soluciones a los problemas de la sociedad
+;La formación integral, la consolidación de grupos de investigación y redes de cooperación
-;La aceptacion en las diferentes empresas que se encuentran en la sociedad

4;¿Como espera ser la Universidad del Quindío en el año 2015?
-;Tener mas sedes en el pais
+;Ser reconocida internacionalmente como una institución de alta calidad académica
-;Tener diversidad de convenios con instituciones en todo el mundo
-;Ser una institucion privada con mucho prestigio 

5;Tres de los principios institucionales son:
-;Resperto por los compañeros de trabajo, igualdad de oportunidades y trabajo en equipo
-;Independencia a la hora de tomar decisiones, trabajo en equipo y conciencia ambiental
-;Responsablidad, igualdad, respeto
+;Autonomía universitaria, responsabilidad social y sostenibilidad ambiental

6;Agunos valores institucionales son:
-;Diversidad, disciplina, igualdad, independecia
+;Creatividad y disciplina, ética, honestidad y transparencia
-;Respeto,solidaridad e imparcialidad
-;Equidad, responsabilidad, autonomia

7;Dos de los objetivos institucionales son:
-;Formar profecionales integros y competentes
-;Generar conciencia ética en los futuros profecionales
+;Educar personas íntegras e impulsar la modernización pedagógica
-;Motivar e insetivar a la sociedad a educarse 

8;¿Cuales son las acciones estratégicas institucionales?
-;Bienestar universitario, fometar el trabajo en equipo, generar diversidad en las opiniones
-;Pedagogía, fomentar las opiniones, generar ambientes propicios para la educacion
-;Generar criterio y diversidad de opiniones entre los que pertenecen a esta
+;Docencia, investigacion, proyección social y bienestar universitario;

9;¿Cuales son las secciones del proyecto educativo del programa?
-;Contexto informatico, objetivos, fundamentos administrativos
-;Fundamentacion practica y administrativa, misión y visión
+;Contexto académico, visión y  misión, reto formativo, fundamentacion teórica y pedagógica y acciones estratégicas
-;Fundamentacion pedagógica, objetivos y contexto académico

10;Es siguiente parrafo pertenece a la Misión del programa
-;El programa de Ingeniería de Sistemas y Computación fomenta el crecimiento del conocimiento de los estudiantes en tecnologia
+;El Programa de Ingeniería de Sistemas y Computación educa profesionales idóneos para responder a las necesidades del sector empresarial en aspectos relacionados con el software
-;El programa de Ingeniería de Sistemas y Computación proporciona los ambientes propicios para la generacion de soluciones a las diferentes problematicas que se presentan dia a dia en la sociedad
-;El programa de Ingeniería de Sistemas y Computación genera personal idoneo para dedicarse al desarrollo de software en las diferentes empresas del pais

11;¿Qué espera el Programa de Ingeniería de Sistemas y Computación en el año 2015?
+;Ser reconocido nacionalmente por su alta calidad académica y la excelencia en su proyecto educativo
-;Tener mas materias vinculadas a su pensul
-;Ser reacreditado por su gran nivel academico
-;Incremetar el numero de estudiantes que pueden cursar sus carreras

12;¿Qué espera el Programa de Ingeniería de Sistemas y Computación para el 2020?
-;Aumentar el nivel de sus educandos para, asi poder competir con las demas instituciones del pais
+;Ser una unidad académica con proyección internacional, que realizará aportes a través de investigación de calidad
-;Tener alianzas con mas universidades a nivel nacional
-;Extender su programa a las demas sedes de la universidad en el pais

13;¿Uno de los principales objetivos del programa es?
-;Preparar al Ingeniero de Sistemas y Computación para dar una solucion optima a los problemas de la sociedad
+;Formar al Ingeniero de Sistemas y Computación para integrar grupos interdisciplinarios en el desarrollo de proyectos informáticos que formen parte de la solución de problemas de las empresas
-;Intruir al Ingeniero de Sistemas y Computación en las diversas tecnologias que se encuentran el el pais
-;Proveer al Ingeniero de Sistemas y Computación de las herramientas necesarias para brindar soluciones optimas a los problemas que presenta la sociedad 

14;Los profesionales del programa de ingeniería de sistemas y computación deben:
-;Estar capacitados para solucionar los problemas que se generen en su entorno laboral o social
-;Tener las aptitudes necesarias para dejar en alto a la universidad en las diferentes competencias con otras universidades
-;Estar preparados para enfrentar los diversos obstaculos que se presentan en el dia a dia de las empresas y en la vida cotidiana
